"QuestionID";"CreationDate";"Title";"Body";"Tags";"AcceptedDate";"NumberOfComments";"CommentsTexts";"Successful"
"24";"2008-08-01 12:12:19";"Throw an error in a MySQL trigger";"<p>If I have a trigger <strong>before the update</strong> on a table, how can I throw an error that prevents the update on that table?</p>&#xA;";"<mysql><database><triggers>";"2008-08-25 00:00:00";"0";"";"yes"
"25";"2008-08-01 12:13:50";"How to use the C socket API in C++ on z/OS";"<p>I've been having issues getting the C sockets API to work properly in C++. Specifically, although I am including sys/socket.h, I still get compile time errors telling me that AF_INET is not defined. Am I missing something obvious, or could this be related to the fact that I'm doing this coding on z/OS and my problems are much more complicated? ;)</p>&#xA;&#xA;<hr>&#xA;&#xA;<p>Oh dear. Upon further investigation, I discovered that there is an #ifdef that I'm hitting. Apparently z/OS isn't happy unless I define which type of sockets I'm using with a little</p>&#xA;&#xA;<pre><code>#define _OE_SOCKETS&#xA;</code></pre>&#xA;&#xA;<p>action.&#xA;Now, I personally have no idea what this OE SOCKETS thingy is, and if any z/OS sockets programmers are out there (all 3 of you), perhaps you could give me a rundown of how this all works?</p>&#xA;";"<c++><c><sockets><mainframe><zos>";"2010-11-16 00:00:00";"0";"";"yes"
"36";"2008-08-01 12:35:56";"Check for changes to an SQL Server table?";"<p>How can I monitor an SQL Server database for changes to a table without using triggers or modifying the structure of the database in any way? My preferred programming environment is <a href=\"http://en.wikipedia.org/wiki/.NET_Framework\">.NET</a> and C#.</p>&#xA;&#xA;<p>I'd like to be able to support any <a href=\"http://en.wikipedia.org/wiki/Microsoft_SQL_Server#Genesis\">SQL&nbsp;Server 2000</a> SP4 or newer. My application is a bolt-on data visualization for another company's product. Our customer base is in the thousands, so I don't want to have to put in requirements that we modify the third-party vendor's table at every installation.</p>&#xA;&#xA;<p>By \"changes to a table\" I mean changes to table data, not changes to table structure.</p>&#xA;&#xA;<p>Ultimately, I would like the change to trigger an event in my application, instead of having to check for changes at an interval.</p>&#xA;&#xA;<hr>&#xA;&#xA;<p>The best course of action given my requirements (no triggers or schema modification, SQL&nbsp;Server 2000 and 2005) seems to be to use the BINARY_CHECKSUM function in <a href=\"http://en.wikipedia.org/wiki/Transact-SQL\">T-SQL</a>. The way I plan to implement is this:</p>&#xA;&#xA;<p>Every X seconds run the following query:</p>&#xA;&#xA;<pre><code>SELECT CHECKSUM_AGG(BINARY_CHECKSUM(*)) FROM sample_table WITH (NOLOCK);&#xA;</code></pre>&#xA;&#xA;<p>and compare that against the stored value. If the value has changed, go through the table row by row using the query</p>&#xA;&#xA;<pre><code>select row_id,BINARY_CHECKSUM(*) from sample_table WITH (NOLOCK);&#xA;</code></pre>&#xA;&#xA;<p>and compare the returned checksums against stored values.</p>&#xA;";"<sql-server><datatable><rdbms>";"2008-08-08 00:00:00";"0";"";"yes"
"39";"2008-08-01 12:43:11";"Reliable timer in a console application";"<p>I am aware that in <a href=\"http://en.wikipedia.org/wiki/.NET_Framework\">.NET</a> there are three timer types (see <em><a href=\"http://msdn.microsoft.com/en-us/magazine/cc164015.aspx\">Comparing the Timer Classes in the .NET Framework Class Library</a></em>). I have chosen a threaded timer as the other types can drift if the main thread is busy, and I need this to be reliable.</p>&#xA;&#xA;<p>The way this timer works in the control of the timer is put on another thread so it can always tick along with the work begin completed on the parent thread when it is not busy.</p>&#xA;&#xA;<p>The issue with this timer in a console application is that while the timer is ticking along on another thread the main thread is not doing anything so the application closes.</p>&#xA;&#xA;<p>I tried adding a <code>while true</code> loop, but then the main thread is too busy when the timer does go off.</p>&#xA;";"<c#><.net><vb.net><timer>";"2008-08-24 00:00:00";"0";"";"yes"
"42";"2008-08-01 12:50:18";"Best way to allow plugins for a PHP application";"<p>I am starting a new web application in PHP and this time around I want to create something that people can extend by using a plugin interface. How does one go about writing 'hooks' into their code so that plugins can attach to specific events?</p>&#xA;";"<php><plugins><architecture><hook>";"2008-08-12 00:00:00";"0";"";"yes"
"48";"2008-08-01 13:01:17";"Multiple submit buttons in an HTML form";"<p>Let's say you create a Wizard in an HTML form. One button goes back and one goes forward.  Since the <em>back</em> button appears first in the markup, when you press Enter it will use that button to submit the form. </p>&#xA;&#xA;<p>Example:</p>&#xA;&#xA;<pre><code>&lt;form&gt;&#xA;   &lt;input type=\"text\" name=\"field1\" /&gt; &lt;!-- put your cursor in this field and press Enter --&gt;&#xA;&#xA;   &lt;input type=\"submit\" name=\"prev\" value=\"Previous Page\" /&gt; &lt;!-- This is the button that will submit --&gt;&#xA;   &lt;input type=\"submit\" name=\"next\" value=\"Next Page\" /&gt; &lt;!-- But this is the button that I WANT to submit --&gt;&#xA;&lt;/form&gt;&#xA;</code></pre>&#xA;&#xA;<p>What I would like to do, is get to decide which button is used to submit the form when a user presses Enter. That way, when you press Enter the Wizard will move to the next page, not the previous. Do you have to use <code>tabindex</code> to do this?</p>&#xA;";"<html><form-submit><html-form><submit-button>";"2009-11-12 00:00:00";"0";"";"yes"
"59";"2008-08-01 13:14:33";"How do I get a distinct, ordered list of names from a DataTable using LINQ?";"<p>Let's say I have a <code>DataTable</code> with a <code>Name</code> column. I want to have a collection of the unique names ordered alphabetically. The following query ignores the order by clause.</p>&#xA;&#xA;<pre><code>var names =&#xA;    (from DataRow dr in dataTable.Rows&#xA;    orderby (string)dr[\"Name\"]&#xA;    select (string)dr[\"Name\"]).Distinct();&#xA;</code></pre>&#xA;&#xA;<p>Why does the <code>orderby</code> not get enforced?</p>&#xA;";"<c#><linq><.net-3.5>";"2008-12-26 00:00:00";"0";"";"yes"
"66";"2008-08-01 13:20:46";"Paging a collection with LINQ";"<p>How do you page through a collection in LINQ given that you have a <code>startIndex</code> and a <code>count</code>?</p>&#xA;";"<linq><.net-3.5>";"2008-10-30 00:00:00";"0";"";"yes"
"72";"2008-08-01 13:38:27";"How do I add existing comments to RDoc in Ruby?";"<p>I've got all these comments that I want to make into 'RDoc comments', so they can be formatted appropriately and viewed using <code>ri</code>.  Can anyone get me started on understanding how to use RDoc?</p>&#xA;";"<ruby><rdoc>";"Null";"0";"";"no"
"79";"2008-08-01 13:56:33";"How can you get Subclipse in Aptana to work with the newest release of Subversion?";"<p>The version of Subclipse (1.2.4) currently available through Aptana's automagic Plugins Manager does not work with the newest version of Subversion.</p>&#xA;&#xA;<p>I see on the Subclipse website however that they have 1.4.2 out for Eclipse. So I added a <a href=\"http://subclipse.tigris.org/update_1.4.x\">new remote update site</a> to my Update manager. When I tried to install it, it told me I needed Mylyn 3.0.0. So I after much searching I found Mylyn 3.0.0 and added <a href=\"http://download.eclipse.org/tools/mylyn/update/e3.3\">another new remote update site</a> to my update manager. Then when I tried to install that, it told me I needed org.eclipse.ui 3.3.0 or equivalent.</p>&#xA;&#xA;<p>Looking at the configuration details for Aptana, it looks like it is built against eclipse 3.2.2.</p>&#xA;&#xA;<p>Does anyone know if there is a way to upgrade the version of Eclipse Aptana is built against to 3.3.0? Or if there is some other way to get Subclipse to work with the very newest version of Subversion?</p>&#xA;&#xA;<p>I know this isn't necessarily a \"programming\" question, but I hope it's ok since it's highly relevant to the programming experience...</p>&#xA;";"<eclipse><svn><aptana><subclipse>";"2009-08-24 00:00:00";"0";"";"yes"
"80";"2008-08-01 13:57:07";"SQLStatement.execute() - multiple queries in one statement";"<p>I've written a database generation script in <a href=\"http://en.wikipedia.org/wiki/SQL\" rel=\"nofollow\">SQL</a> and want to execute it in my <a href=\"http://en.wikipedia.org/wiki/Adobe_Integrated_Runtime\" rel=\"nofollow\">Adobe AIR</a> application:</p>&#xA;&#xA;<pre><code>Create Table tRole (&#xA;      roleID integer Primary Key&#xA;      ,roleName varchar(40)&#xA;);&#xA;Create Table tFile (&#xA;    fileID integer Primary Key&#xA;    ,fileName varchar(50)&#xA;    ,fileDescription varchar(500)&#xA;    ,thumbnailID integer&#xA;    ,fileFormatID integer&#xA;    ,categoryID integer&#xA;    ,isFavorite boolean&#xA;    ,dateAdded date&#xA;    ,globalAccessCount integer&#xA;    ,lastAccessTime date&#xA;    ,downloadComplete boolean&#xA;    ,isNew boolean&#xA;    ,isSpotlight boolean&#xA;    ,duration varchar(30)&#xA;);&#xA;Create Table tCategory (&#xA;    categoryID integer Primary Key&#xA;    ,categoryName varchar(50)&#xA;    ,parent_categoryID integer&#xA;);&#xA;...&#xA;</code></pre>&#xA;&#xA;<p>I execute this in Adobe AIR using the following methods:</p>&#xA;&#xA;<pre><code>public static function RunSqlFromFile(fileName:String):void {&#xA;    var file:File = File.applicationDirectory.resolvePath(fileName);&#xA;    var stream:FileStream = new FileStream();&#xA;    stream.open(file, FileMode.READ)&#xA;    var strSql:String = stream.readUTFBytes(stream.bytesAvailable);&#xA;    NonQuery(strSql);&#xA;}&#xA;&#xA;public static function NonQuery(strSQL:String):void&#xA;{&#xA;    var sqlConnection:SQLConnection = new SQLConnection();&#xA;    sqlConnection.open(File.applicationStorageDirectory.resolvePath(DBPATH);&#xA;    var sqlStatement:SQLStatement = new SQLStatement();&#xA;    sqlStatement.text = strSQL;&#xA;    sqlStatement.sqlConnection = sqlConnection;&#xA;    try&#xA;    {&#xA;        sqlStatement.execute();&#xA;    }&#xA;    catch (error:SQLError)&#xA;    {&#xA;        Alert.show(error.toString());&#xA;    }&#xA;}&#xA;</code></pre>&#xA;&#xA;<p>No errors are generated, however only <code>tRole</code> exists. It seems that it only looks at the first query (up to the semicolon- if I remove it, the query fails). Is there a way to call multiple queries in one statement?</p>&#xA;";"<flex><actionscript-3><air>";"2009-01-27 00:00:00";"0";"";"yes"
"85";"2008-08-01 14:19:52";"Flat File Databases";"<p>What are your best practices around creating flat file database structures in PHP?  A lot of the more mature PHP flat file frameworks I see out there attempt to implement SQL-like query syntax, which is over the top for my purposes in most cases (I would just use a database at that point).</p>&#xD;&#xA;&#xD;&#xA;<p>Are there any elegant tricks out there to get good performance and features with the small code overhead one would want by taking on this problem in the first place?</p>";"<php><sql><database><flat-file>";"2008-09-01 00:00:00";"0";"";"yes"
"88";"2008-08-01 14:36:18";"Is gettimeofday() guaranteed to be of microsecond resolution?";"<p>So I find myself porting a game, that was originally written for the Win32 API, to Linux (well, porting the OS X port of the Win32 port to Linux). I have implemented <code>QueryPerformanceCounter</code> by giving the uSeconds since the process start up:  </p>&#xA;&#xA;<pre><code>BOOL QueryPerformanceCounter(LARGE_INTEGER* performanceCount)&#xA;{&#xA;    gettimeofday(&amp;currentTimeVal, NULL);&#xA;    performanceCount-&gt;QuadPart = (currentTimeVal.tv_sec - startTimeVal.tv_sec);&#xA;    performanceCount-&gt;QuadPart *= (1000 * 1000);&#xA;    performanceCount-&gt;QuadPart += (currentTimeVal.tv_usec - startTimeVal.tv_usec);&#xA;&#xA;    return true;&#xA;}&#xA;</code></pre>&#xA;&#xA;<p>This, coupled with <code>QueryPerformanceFrequency()</code> giving a constant 1000000 as the frequency, works well <b>on my machine</b>, giving me a 64 bit variable that contains <code>uSeconds</code> since the program's start up. So <em>is this portable?</em> I don't want to discover it works differently if the kernel was compiled in a certain way or anything like that. I am fine with it being non-portable to something other than Linux, however.</p>&#xA;";"<linux><winapi><visual-c++><unix><timer>";"2008-08-03 00:00:00";"0";"";"yes"
"90";"2008-08-01 14:41:24";"Good branching and merging tutorials for TortoiseSVN?";"<p>Are there any really good tutorials explaining <a href=\"http://svnbook.red-bean.com/en/1.7/svn.branchmerge.html\">branching and merging</a> with Apache Subversion? </p>&#xA;&#xA;<p>All the better if it's specific to TortoiseSVN client.</p>&#xA;";"<svn><tortoisesvn><branch><branching-and-merging>";"Null";"0";"";"no"
"104";"2008-08-01 15:12:34";"Anatomy of a \"Memory Leak\"";"<p>In .NET perspective:</p>&#xA;&#xA;<ul>&#xA;<li>What is a <strong><a href=\"http://en.wikipedia.org/wiki/Memory_leak\">Memory Leak</a></strong>?</li>&#xA;<li>How can you determine whether your application leaks? What are the effects?</li>&#xA;<li>How can you prevent a memory leak?</li>&#xA;<li>If your application has memory leak, does it go away when the process exits or is killed? Or do memory leaks in your application affect other processes on the system even after process completion?</li>&#xA;<li>And what about unmanaged code accessed via COM Interop and/or P/Invoke?</li>&#xA;</ul>&#xA;&#xA;<p>I have some answers for these questions myself, but they are incomplete. What do you think?</p>&#xA;";"<.net><performance><memory-leaks><com-interop>";"2009-02-16 00:00:00";"0";"";"yes"
"108";"2008-08-01 15:22:29";"Best Subversion clients for Windows Vista (64bit)";"<p>I've been using <a href=\"http://tortoisesvn.tigris.org/\">TortoiseSVN </a> in a Windows environment for quite some time.  It seems very feature-complete and nicely integrated into the Windows shell, and more importantly, it's fairly painless to teach to colleagues with little or no experience with source control.  <strong>However</strong>, since we have moved to Windows Vista 64bit, Tortoise has been very buggy and has seemed to cause lots of explorer.exe abnormalities and crashes.  This has happened both with older versions of the software and the latest version (1.5.1 build 13563).</p>&#xA;&#xA;<p>I was curious if anyone has suggestions for other Subversion clients that will run on Windows (specifically Vista 64bit).  Developers here use a variety of text editors so using Visual Studio or Dreamweaver for SVN is not ideal.</p>&#xA;&#xA;<p>I have heard great things about <a href=\"http://www.zennaware.com/cornerstone/\">Cornerstone</a>, and would love something similar for Windows if it exists.</p>&#xA;&#xA;<hr>&#xA;&#xA;<p>I'm correlating the Vista/explorer problems with Tortoise because they normally occur when I'm using the functionality in Tortoise.  Sometimes bringing up the \"merge\" screen will cause the GUI to start acting very strange and eventually hang or crash.</p>&#xA;&#xA;<p>I did not see 1.5.2 -- I'm installing now, maybe that will fix some of my issues.</p>&#xA;";"<windows><svn><64bit>";"2008-08-18 00:00:00";"0";"";"yes"
"120";"2008-08-01 15:50:08";"ASP.NET Site Maps";"<p>Has anyone got experience creating SQL-based ASP.NET site-map providers?</p>&#xA;&#xA;<p>I've got the default <code>XML web.sitemap</code> file working properly with my <code>Menu</code> and <code>SiteMapPath</code> controls, but I'll need a way for the users of my site to create and modify pages dynamically.  </p>&#xA;&#xA;<p>I need to tie page viewing permissions into the standard <code>ASP.NET</code> membership system as well.</p>&#xA;&#xA;<p>I'd like some advice on articles or videos.</p>&#xA;&#xA;<p>Thanks</p>&#xA;";"<asp.net><sql><navigation><membership><sitemap>";"Null";"0";"";"no"
"123";"2008-08-01 16:08:52";"Java lib or app to convert CSV to XML file?";"<p>Is there an existing application or library in Java which will allow me to convert a CSV data file to XML file?  </p>&#xA;&#xA;<p>The XML tags would be provided through possibly the first row containing column headings.</p>&#xA;";"<java><xml><csv><data-conversion>";"2009-04-08 00:00:00";"0";"";"yes"
"126";"2008-08-01 16:10:30";"How would you access Object properties from within an object method?";"<p>What is the \"purist\" or \"correct\" way to access an object's properties from within an object method that is not a getter/setter method?</p>&#xA;&#xA;<p>I know that from outside of the object you should use a getter/setter, but from within would you just do:</p>&#xA;&#xA;<p>Java:</p>&#xA;&#xA;<pre><code>String property = this.property;&#xA;</code></pre>&#xA;&#xA;<p>PHP:</p>&#xA;&#xA;<pre><code>$property = $this-&gt;property;&#xA;</code></pre>&#xA;&#xA;<p>or would you do:</p>&#xA;&#xA;<p>Java:</p>&#xA;&#xA;<pre><code>String property = this.getProperty();&#xA;</code></pre>&#xA;&#xA;<p>PHP:</p>&#xA;&#xA;<pre><code>$property = $this-&gt;getProperty();&#xA;</code></pre>&#xA;&#xA;<p>Forgive me if my Java is a little off, it's been a year since I programmed in Java...</p>&#xA;&#xA;<p><strong>EDIT:</strong></p>&#xA;&#xA;<p>It seems people are assuming I am talking about private or protected variables/properties only. When I learned OO I was taught to use getters/setters for every single property even if it was public (and actually I was told never to make any variable/property public). So, I may be starting off from a false assumption from the get go. It appears that people answering this question are maybe saying that you should have public properties and that those don't need getters and setters, which goes against what I was taught, and what I was talking about, although maybe that needs to be discussed as well. That's probably a good topic for a different question though...</p>&#xA;";"<java><php><oop><theory>";"2008-08-01 00:00:00";"0";"";"yes"
"129";"2008-08-01 16:22:42";"How to export data from SQL Server 2005 to MySQL";"<p>I've been banging my head against SQL Server 2005 trying to get a lot of data out.  I've been given a database with nearly 300 tables in it and I need to turn this into a MySQL database.  My first call was to use bcp but unfortunately it doesn't produce valid CSV - strings aren't encapsulated, so you can't deal with any row that has a string with a comma in it (or whatever you use as a delimiter) and I would still have to hand write all of the create table statements, as obviously CSV doesn't tell you anything about the data types.</p>&#xA;&#xA;<p>What would be better is if there was some tool that could connect to both SQL Server and MySQL, then do a copy. You lose views, stored procedures, trigger, etc, but it isn't hard to copy a table that only uses base types from one DB to another... is it?</p>&#xA;&#xA;<p>Does anybody know of such a tool?  I don't mind how many assumptions it makes or what simplifications occur, as long as it supports integer, float, datetime and string. I have to do a lot of pruning, normalising, etc. anyway so I don't care about keeping keys, relationships or anything like that, but I need the initial set of data in fast!</p>&#xA;";"<mysql><sql-server><csv><bcp>";"Null";"0";"";"no"
